,Player,Tgt,Rec,Yds,Y/R,TD,Lng,Year
0,Nick Chubb,29.0,20.0,149.0,7.5,2,24.0,2018
1,Carlos Hyde,9.0,6.0,29.0,4.8,0,9.0,2018
2,Duke Johnson,62.0,47.0,429.0,9.1,3,32.0,2018
5,Breshad Perriman,25.0,16.0,340.0,21.3,2,66.0,2018
6,Jarvis Landry*,149.0,81.0,976.0,12.0,4,51.0,2018
7,Antonio Callaway,79.0,43.0,586.0,13.6,5,71.0,2018
9,David Njoku,88.0,56.0,639.0,11.4,4,66.0,2018
10,Rashard Higgins,53.0,39.0,572.0,14.7,4,40.0,2018
11,Damion Ratley,20.0,13.0,144.0,11.1,0,27.0,2018
12,Darren Fells,12.0,11.0,117.0,10.6,3,49.0,2018
13,Dontrell Hilliard,10.0,9.0,105.0,11.7,0,24.0,2018
14,Seth Devalve,7.0,5.0,74.0,14.8,1,26.0,2018
15,Orson Charles,5.0,3.0,23.0,7.7,0,9.0,2018
16,Derrick Willies,5.0,3.0,61.0,20.3,0,39.0,2018
17,Josh Gordon,3.0,1.0,17.0,17.0,1,17.0,2018
0,Nick Chubb*,49.0,36.0,278.0,7.7,0,32.0,2019
1,Kareem Hunt,44.0,37.0,285.0,7.7,1,29.0,2019
3,Dontrell Hilliard,15.0,12.0,92.0,7.7,0,19.0,2019
4,D'Ernest Johnson,7.0,6.0,71.0,11.8,0,27.0,2019
5,Odell Beckham Jr.,133.0,74.0,1035.0,14.0,4,89.0,2019
7,Jarvis Landry*,138.0,83.0,1174.0,14.1,6,65.0,2019
8,Demetrius Harris,27.0,15.0,149.0,9.9,3,23.0,2019
9,Ricky Seals-Jones,22.0,14.0,229.0,16.4,4,59.0,2019
10,Damion Ratley,24.0,12.0,200.0,16.7,1,46.0,2019
11,Antonio Callaway,15.0,8.0,89.0,11.1,0,41.0,2019
12,Stephen Carlson,7.0,5.0,51.0,10.2,1,21.0,2019
13,David Njoku,10.0,5.0,41.0,8.2,1,18.0,2019
14,Rashard Higgins,11.0,4.0,55.0,13.8,1,35.0,2019
15,KhaDarel Hodge,10.0,4.0,76.0,19.0,0,41.0,2019
16,Pharaoh Brown,3.0,2.0,27.0,13.5,0,18.0,2019
17,Wyatt Teller,1.0,1.0,-5.0,-5.0,0,-5.0,2019
0,Kareem Hunt,51.0,38.0,304.0,8.0,5,26.0,2020
1,Nick Chubb*,18.0,16.0,150.0,9.4,0,26.0,2020
2,Baker Mayfield,1.0,1.0,6.0,6.0,0,6.0,2020
3,D'Ernest Johnson,4.0,3.0,14.0,4.7,0,5.0,2020
4,Dontrell Hilliard,1.0,1.0,2.0,2.0,0,2.0,2020
5,Jarvis Landry,101.0,72.0,840.0,11.7,3,32.0,2020
6,Odell Beckham Jr.,43.0,23.0,319.0,13.9,3,43.0,2020
7,Andy Janovich,5.0,2.0,13.0,6.5,0,13.0,2020
10,Austin Hooper,70.0,46.0,435.0,9.5,4,36.0,2020
11,Rashard Higgins,52.0,37.0,599.0,16.2,4,43.0,2020
12,Harrison Bryant,38.0,24.0,238.0,9.9,3,35.0,2020
13,David Njoku,29.0,19.0,213.0,11.2,2,28.0,2020
14,Donovan Peoples-Jones,20.0,14.0,304.0,21.7,2,75.0,2020
15,KhaDarel Hodge,17.0,11.0,180.0,16.4,0,42.0,2020
16,Ja'Marcus Bradley,11.0,5.0,60.0,12.0,0,22.0,2020
17,Stephen Carlson,2.0,1.0,11.0,11.0,0,11.0,2020
18,Marvin Hall,2.0,1.0,12.0,12.0,0,12.0,2020
19,Kendall Lamm,1.0,1.0,1.0,1.0,1,1.0,2020
0,Nick Chubb*,25.0,20.0,174.0,8.7,1,40.0,2019
1,D'Ernest Johnson,25.0,19.0,137.0,7.2,0,18.0,2019
2,Kareem Hunt,27.0,22.0,174.0,7.9,0,23.0,2019
5,Demetric Felton,21.0,18.0,181.0,10.1,2,33.0,2019
6,Jarvis Landry,87.0,52.0,570.0,11.0,2,38.0,2019
7,Anthony Schwartz,23.0,10.0,135.0,13.5,1,44.0,2019
8,Johnny Stanton,2.0,2.0,7.0,3.5,1,6.0,2019
9,Odell Beckham Jr.,34.0,17.0,232.0,13.6,0,26.0,2019
10,Andy Janovich,4.0,3.0,9.0,3.0,0,3.0,2019
12,David Njoku,53.0,36.0,475.0,13.2,4,71.0,2019
14,Austin Hooper,61.0,38.0,345.0,9.1,3,34.0,2019
15,Donovan Peoples-Jones,58.0,34.0,597.0,17.6,3,60.0,2019
16,Rashard Higgins,47.0,24.0,275.0,11.5,1,21.0,2019
17,Harrison Bryant,28.0,21.0,233.0,11.1,3,41.0,2019
18,Ja'Marcus Bradley,4.0,4.0,64.0,16.0,0,37.0,2019
0,Austin Trammell,2.0,1.0,5.0,5.0,0,5.0,2022
1,Ben Skowronek,11.0,8.0,92.0,11.5,0,32.0,2022
2,Brandon Powell,10.0,6.0,21.0,3.5,0,8.0,2022
3,Brycen Hopkins,5.0,5.0,86.0,17.2,0,22.0,2022
4,Cam Akers,11.0,10.0,99.0,9.9,0,18.0,2022
5,Chosen Anderson,27.0,13.0,206.0,15.8,1,75.0,2022
6,Christian McCaffrey,35.0,26.0,188.0,7.2,1,34.0,2022
7,D.J. Moore,37.0,17.0,197.0,11.6,1,29.0,2022
8,Giovanni Ricci,6.0,5.0,58.0,11.6,0,16.0,2022
9,Ian Thomas,14.0,8.0,93.0,11.6,0,50.0,2022
10,Kyren Williams,3.0,2.0,13.0,6.5,0,10.0,2022
11,Laviska Shenault Jr.,2.0,2.0,90.0,45.0,1,67.0,2022
12,Malcolm Brown,3.0,3.0,14.0,4.7,0,9.0,2022
13,Shi Smith,16.0,8.0,105.0,13.1,0,31.0,2022
14,Stephen Sullivan,1.0,1.0,13.0,13.0,0,13.0,2022
15,Terrace Marshall Jr.,4.0,4.0,30.0,7.5,0,12.0,2022
16,Tommy Tremble,8.0,5.0,42.0,8.4,0,16.0,2022
17,Tutu Atwell,23.0,12.0,111.0,9.2,0,22.0,2022
18,Tyler Higbee,30.0,22.0,176.0,8.0,3,21.0,2022
19,Van Jefferson,21.0,13.0,233.0,17.9,1,39.0,2022
